Gene,log2,HSC_BM,HSC_BM,HSC_BM,HSC_BM,HSC_BM,HSC_BM,HSC_BM,HSC_BM,early HPC_BM,early HPC_BM,early HPC_BM,early HPC_BM,CMP,CMP,CMP,GMP,GMP,GMP,MEP,MEP,MEP,PM_BM,PM_BM,PM_BM,MY_BM,MY_BM,MY_BM,PMN_BM,PMN_BM,PMN_BM,PMN_PB,PMN_PB,PMN_PB,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,CD14+ monocytes,B cells,B cells,B cells,B cells,B cells,CD4+ T cells,CD4+ T cells,CD4+ T cells,CD4+ T cells,CD4+ T cells,CD8+ T cells,CD8+ T cells,CD8+ T cells,CD8+ T cells,CD8+ T cells,NK cells,NK cells,NK cells,NK cells,NK cells,mDC,mDC,mDC,mDC,mDC,pDC,pDC,pDC,pDC,pDC
BRI3BP,231810_at,6.68937520633,6.35390600737,6.66767263529,7.02537718138,6.50060600984,6.47177875283,6.97102224019,6.76575880049,7.65162519083,7.0975500025,7.50445378571,6.71876667721,8.52437047465,8.3445990808,8.24010191946,9.18468459173,9.11309775931,9.37242465582,8.52110053274,9.10681629481,8.73206696029,8.76829179253,8.83400480509,9.24269799904,8.99512646809,8.11138670244,7.87826100295,6.63995467353,7.08918535828,7.37890727634,7.27655790118,7.33155858799,7.56165682364,7.14947279979,6.58344010073,7.35683602562,7.67287593433,7.78549692956,7.6953353105,7.91774125126,7.87166488586,7.42431259903,7.52765909817,7.31253027973,7.42327604579,6.46341377182,6.50927872983,7.71009584868,7.07561976751,7.34267940376,7.12951616061,7.82784473901,6.35873383883,6.96341918001,6.13815396766,6.49118395277,6.1882584186,6.64057508514,6.62539324264,6.59367928902,5.78789961651,6.0918707738,6.94397632655,6.76549329381,5.53321511839,6.48063573117,6.62600627122,8.2864496783,8.6382766853,7.7730924725,8.35292850861,8.57236459081,8.80035317827,8.80265290453,8.59403245362,9.07589394826,8.88398283594
ENDOD1,212573_at,7.4378009714,7.05311426595,7.0488359976,6.83061162928,6.82719929559,6.30080958159,7.80795973493,7.39118107171,7.26731487315,7.51225633334,7.23823102947,7.20398993508,6.65028074057,6.79379404507,7.0982509942,6.57582957758,6.61655776024,6.43881915962,7.56773376482,8.1984910447,7.56784853055,6.60934558072,6.43861588142,6.04356959252,5.97387282823,6.02072016263,6.05585108843,6.96196852643,5.89853935112,5.83816986101,6.92314915273,6.32138928832,6.77808904427,5.02449557826,4.55079722908,4.71028366147,5.03087109023,5.72620889229,5.75253544043,5.8189584919,5.81905411208,4.88889550916,5.15554455347,4.92296064962,4.44063316749,4.80981263605,4.67180376004,7.43363007268,6.83897393662,7.06775016845,6.9740374411,7.6931161026,5.81249176844,6.36657145284,5.57532550591,6.05886067505,5.59150039189,6.71285156916,6.80274585413,6.75663115397,5.59948539816,5.81279065938,7.66937088729,7.09280691459,6.6568427271,6.96519914148,7.35265814027,6.58176969842,6.43546929029,5.96040572394,6.68946455905,6.75792655319,4.77781010588,5.37550423429,5.48584032585,5.24967434676,4.98062624858
ENDOD1,212570_at,5.77530603156,5.79403235856,4.87192740676,5.02809244483,5.57520805364,5.71936375515,5.40778108011,4.76211648062,4.88275400008,5.55208742641,5.81618074489,5.07677873038,5.33087600939,5.39951748919,5.58641762627,5.47119577764,5.34529905409,5.15134519762,6.15553451322,6.05948169322,6.15501272588,4.77304127569,4.93694920295,4.90199020726,5.48248001382,5.30669620972,4.85697558144,5.2522443082,4.7634119005,5.79364782317,5.85829287758,4.85571209379,5.30365506216,4.60289437523,4.02439526425,5.17682777924,4.51174343857,5.15296774066,4.62958390122,4.73540422482,4.6063101214,4.51435805461,4.63300774587,4.37161678869,4.56807714251,4.95649666942,5.27729099101,5.40871529056,5.29930161324,5.47281505392,5.85391587915,5.26062112606,5.2946845042,5.0035642419,4.94558685284,4.93150176183,5.00797553724,5.25946128576,5.13495926111,6.20211651007,4.91663224551,5.24840236736,6.38569083975,6.20605176249,5.14930012509,5.49412179407,4.50447327862,5.06411614218,4.93044845917,4.78931000841,5.89831960524,4.85497493827,4.64812332429,4.27169996248,4.05594970471,4.43742328729,4.00195167601
ASB8,226861_at,6.78300325525,6.69277368935,7.14305148776,7.24686483973,7.25221810032,7.41402746099,6.32679550387,6.85743684949,6.55253261739,6.79916709316,6.5254960551,7.06794162943,7.80195535374,7.81933157808,7.65851235351,7.64669540036,7.562437787,7.67940770451,7.81174938304,7.8299812293,7.85434727043,7.19475053577,6.78637965337,7.1787043582,7.44162284718,7.43795420636,7.13465092429,7.9715529261,7.59238855117,7.6842468671,7.62758250013,7.08191160177,7.48623449347,6.95107237227,7.04297142257,7.85118586958,7.40150997734,7.57693379433,7.58960790876,7.67016438326,7.52337301681,7.85656606701,7.77094139407,7.61083599016,7.74136455741,7.68724585532,7.54893046085,7.89561904316,7.24959962231,7.51080038202,7.68769714324,7.96240039059,8.15338175852,8.11315560455,7.79620545634,7.96532644803,7.85079812005,8.40517008465,8.36374782819,8.18593347323,7.25801263549,7.72265112765,8.69925736404,8.44224611315,7.67350030711,8.26039753515,8.53424600378,6.74525888746,6.48377945679,6.15047750764,7.03284251124,6.64844878136,6.80412854456,7.29533708011,7.07872262405,7.33923299114,7.49350723606
ASB8,218841_at,6.60237502507,6.54205642256,6.67439722545,6.29641574608,6.36872791182,6.97427855056,6.2477200266,6.50024381752,6.4053767422,5.89423553796,6.97538066358,6.17808338913,6.63141765489,6.81874168989,6.80031981192,6.55180856154,6.58345458915,6.75523635885,6.86706143446,7.40275027894,6.82412796267,5.47236305377,5.64755821635,5.83348870738,5.7991879498,6.42632840954,6.10659415209,6.13499783123,6.82687711052,6.37669441063,5.96005758529,6.44510218036,6.37283539454,6.49974740596,6.17820114253,6.73319638957,6.36804654568,6.91884639659,6.59354392568,6.71344025222,6.92573202985,6.64231801226,6.85012779345,6.4658964068,6.78513435744,6.37559694473,6.43131251138,6.74329058202,6.00458707243,5.99380994599,6.40574778051,6.99773145267,6.28397526519,7.11387301851,6.55719302303,6.52568352222,6.54607198147,7.44952513049,7.12682620462,7.37709151503,6.20821576224,6.34551249357,7.83333016098,7.2816560761,6.26600297164,6.98330746288,7.46016571658,6.29107823975,6.75235422722,6.05112552153,7.24882937397,6.86676889879,6.89500147943,6.83021429931,7.18350497783,6.738453054,6.76387264999
TFPI,213258_at,8.57372651742,8.8665715947,8.49541191892,9.03110567091,8.79888058496,8.24449137783,8.84343737108,9.05921354633,8.52347485729,8.66174132832,8.03194959813,9.0787601235,7.15268396011,7.66812360433,7.36159015331,6.12417545365,6.06156304795,6.28255621594,7.14647313791,7.46214290556,7.12741012088,5.32469221123,4.54661630492,4.46611194885,4.2145835071,3.73201338669,3.75124721656,3.85121900712,4.1689576881,4.29129792899,4.22019418107,4.34801934454,4.35759497694,2.27541573206,2.13684710976,2.18273897064,2.20882501425,2.40928832016,2.33742541618,2.3177596119,2.19931005188,1.99786696653,2.26622096251,2.28022127429,2.23649425492,2.39540508919,2.22619578889,2.21112211905,2.43436192346,2.37512040085,2.35921247967,2.25635375367,2.38264217826,2.2905357289,2.65745735366,2.27368530486,2.44020061406,2.70265571072,2.63586087418,2.63825587829,2.4032225428,2.34913579065,2.08022068768,2.43239258955,2.25770311686,2.31712756538,2.25013460505,2.95873869232,2.58432148781,3.01583871083,2.54329043114,2.84901256526,4.94554302939,5.73317505308,4.98620210903,5.61257425625,5.43932944185
TFPI,210664_s_at,8.65158624141,8.69997928552,8.04187042024,8.52866276101,8.33666726359,7.88623610575,8.79022979025,8.92620548521,7.80544288536,7.60904393468,7.66194740347,8.31236050265,7.27846497858,7.29002455985,7.08481118397,5.86859527701,6.50141590538,6.28475129114,6.76169425235,7.0297574505,7.03523253412,3.31650419784,3.33988281191,3.4141794821,3.02971515234,2.7769639951,2.935653112,3.40720944216,3.08224588656,2.85650309031,3.31673479261,3.24124700591,3.49750443372,3.27523615318,3.16500218751,2.93519247321,2.93264561077,3.09223574755,3.13622971364,3.2696847602,3.20343524958,2.9979381769,3.07129384421,3.29374452572,3.17374171082,3.14592575353,3.71221968803,2.84455342115,3.07396237106,3.43421455325,3.16295241084,3.36708398338,3.54640207595,3.37617590955,2.98352987704,3.21654943893,3.16633916894,3.46288683253,3.41315634077,3.22349116902,3.24463956605,3.38674641215,3.10852477641,2.95514977546,3.47155462544,3.49552632697,3.25121841802,3.21193598014,3.5281884037,4.00315885915,3.33615484779,4.03621782588,5.08718113713,5.49767070539,4.81630942483,4.72819029601,4.6796218062
TFPI,210665_at,8.12954983456,8.09698540304,7.88718853705,8.59887665739,8.31088609704,8.22815753645,8.18251488173,8.01919590413,7.98234299299,7.56504389056,7.43818386581,7.78707290492,5.01837357296,5.84369985034,5.76154451915,4.28809538904,4.82608411768,4.54737650176,5.69051725949,5.63107957269,5.24254974129,1.85569398387,1.73358215782,2.13981995467,1.92834567213,1.84414360086,1.87062326176,1.40210068549,1.62317416347,1.88127809141,2.45069324921,1.67331508198,2.2068302,3.23516204165,2.94682137111,2.94056180153,2.91195058546,2.91881386914,2.95136265218,2.67324836581,2.75358581375,2.84567371273,3.27485190478,3.02291121544,2.97310494558,3.14301839008,3.14772601136,2.74147996745,3.11079738676,3.14958344939,3.0052016879,2.83948670899,3.38046142308,2.76729748419,3.1474983891,2.9233032915,2.99885232587,3.11063597673,3.15516018661,3.19867903779,3.17136365916,3.02078483884,2.82026226995,2.86140575961,3.23185186733,3.35174423452,2.83509431187,3.05798908406,2.97307979806,3.33654429814,3.15419191679,3.24023179346,3.76776493667,3.55710042941,3.89140279252,3.18406917362,3.17564410891
TFPI,214378_at,4.68782422151,5.11366014881,3.72704707362,4.17690199327,4.29555299101,3.99632604338,4.18735631797,5.23019886174,3.8186260775,3.74001289165,3.81926804828,4.03724628198,3.11629777734,4.02980215783,3.9065716961,2.7261224102,2.98604291652,2.72282189363,3.66536867977,3.20736716148,3.39418964349,3.60674812235,3.67809744962,3.72057891633,3.64202010024,3.90292184198,3.77654487651,3.82487850482,3.87176506264,3.8232836691,3.93901756796,3.75956218952,3.84699413181,2.57413580425,2.52603261896,2.76576119621,2.57232715156,2.60443856524,2.61539638782,2.77591406264,2.57863497404,2.75781554289,2.68038085674,2.84960464863,2.57631245307,3.14141945002,3.14754448354,2.74974850737,2.69793784967,2.69521926838,2.73831843277,2.68921083544,2.42878328152,2.68605800539,2.68956197468,2.86557581299,2.77895929212,2.60357069566,2.64314650822,2.90179727057,2.64443116936,2.73531079378,2.59048980763,2.69692112608,2.98258326632,2.63364460876,2.76030890882,2.82702614538,2.86734794043,3.66320641235,2.88577687877,3.03706839666,2.89718595626,2.66148719829,2.9843568212,2.84991904235,2.73256222283
TFPI,209676_at,5.90303331674,5.49049462193,4.0118662258,6.12568005849,4.50164143474,5.12169132579,5.78476809367,6.11356267136,3.6556901418,5.07637753254,3.72194735079,5.26326602262,4.87613213503,4.98984464157,4.89686331838,4.07696879891,4.25847300093,4.28267744831,4.46234376908,4.94739218159,4.64945261969,2.79047549076,3.03640339236,2.75060982137,2.6843148058,2.66207620445,2.57400615309,2.96032693149,2.68118591454,2.91243520146,2.87451538587,2.82325902524,3.12231834148,2.87858670302,2.7901454874,3.29036363863,2.87882128882,2.57701298361,2.89104395748,2.75742763633,2.56590689701,3.45695379687,3.570545413,3.74293926639,3.53728206468,3.11961119307,3.15127385965,3.07443087637,3.99686309348,3.49543320808,3.28499007801,2.81247615358,3.85646393499,3.05494990876,4.10397416162,3.35911827885,4.13621182478,2.93459435036,3.35026863666,3.36545603193,4.4051078902,4.31040771675,2.74900627764,2.99456939915,3.50333223215,3.30998246939,2.78809284927,2.88704338294,3.06343176231,3.4223028221,2.52143896223,2.89769347713,3.11096569225,3.46214743043,3.02002992999,2.97982262767,2.83429353831
FBXO33,227521_at,8.31878526562,8.23697820707,7.8947785912,7.89943190289,7.94619727999,8.34760415127,7.56437016905,8.49079672876,7.59007768808,8.35673019104,8.35961592839,7.01472838084,7.66324692518,7.49577499243,8.19908233366,7.74063981598,8.15147264516,7.34250884511,7.80779018836,7.79465816997,7.75981323506,5.95679064672,6.07669479997,6.10485255319,5.76005349443,6.25611665805,6.12840283772,7.14024477602,6.94728071296,6.6676020933,7.29708281045,7.07830991686,6.90775393411,9.60691115641,9.40848737717,7.93963499043,8.49427132328,8.61071232724,8.47077495966,8.63939325095,8.59758296753,7.73905466407,7.95592312161,7.77067800118,8.15154425401,8.12241260155,8.49766459552,7.73769806022,6.94049660465,7.24288882159,7.49043194651,8.03813626118,7.82335149851,8.65469903869,8.25832437615,8.30161427158,8.15674262421,8.70283588473,8.75966542096,8.70323569109,7.98158269783,8.15370291728,8.73818029576,8.52263855068,7.78967247586,8.47773891966,8.74127600022,7.59108794213,7.56026292042,7.66183453553,7.83252624875,7.63721646599,7.23947540853,7.20029849708,7.11721409324,7.29492440088,7.2595880689
